Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Suarez,Trump
Signed loyalty pledge?,,,,,,TBD,TBD,,TBD,,,TBD,,,,,TBD
Met fundraising targets?,,,,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
Hit polling threshold?,,,,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y
Qualifies for debate?,,,,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y
Declined to participate?,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N
Polling average,,,,,,,,,,,,,,,,,
Dropped out?,,,,,,,,,,,,,,,,Y,
Morning Consult,https://pro.morningconsult.com/trackers/2024-gop-primary-election-tracker?utm_source=briefing&utm_medium=email&utm_campaign=washington_am&utm_content=080823,National,Aug. 4–6,,0,0.03,0.16,,0.03,0,0.01,,0.06,0.08,0.03,0,0.59
Kaplan Strategies,https://kaplanstrategies.com/2023/08/14/trump-leads-close-race-for-second-place/,National,Aug. 9–10,,0.01,0.04,0.1,,0.04,,0,,0.08,0.11,0.02,,0.48
Morning Consult,https://pro.morningconsult.com/trackers/2024-gop-primary-election-tracker,National,Aug. 11–13,,0.01,0.03,0.16,,0.03,0,0.01,,0.07,0.09,0.03,0.01,0.57
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/TFG-National-GOP-PPP-Poll-Report-0817.pdf,National,Aug. 14-16,,0,0.05,0.17,0.01,0.04,0,0.01,0.01,0.05,0.04,0.04,0,0.55
JMC Analytics,https://winwithjmc.com/archives/9762,National,Aug. 14-17,,0.01,0.04,0.13,,0.03,0,0.01,0,0.04,0.05,0.04,0,0.52
Victory Insights,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_NationalGOP_08-18-2023.pdf,National,Aug. 15-17,,,0.06,0.12,,0.02,,,0.01,0.04,0.04,0.01,,0.61
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/NH-GOP-PPP-Poll-Report-0818.pdf,New Hampshire,Aug. 14-16,0,2%*,0.09,0.11,0,0.03,0.01,0.01,0.02,0.03,0.1,0.08,0,0.5
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/IA-GOP-Caucus-Poll-Report-0818.pdf,Iowa,Aug. 14-16,0.01,0.03,0.04,0.16,0.01,0.05,0,0.01,0.01,0.04,0.06,0.13,0,0.42
Amercan Pulse,https://www.americanpulse.us/NationalGOPPollAugust2023,National,Aug. 15-16,0,0,0.04,0.13,0,0.03,0,0,0,0.04,0.07,0.04,0,0.58
Kaplan Strategies,https://www.scribd.com/document/665970001/National-Republican-Polling#,National,Aug. 15-16,,0.01,0.03,0.1,,0.05,,0.03,,0.06,0.11,0.03,0.02,0.47
