Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Trump
Signed loyalty pledge?,,,,,,TBD,TBD,,TBD,,,TBD,,,,TBD
Met fundraising targets?,,,,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y
Hit polling threshold?,,,,N,N,N,Y,N,Y,N,N,N,N,N,N,Y
Qualifies for debate?,,,,N,N,N,Y,N,Y,N,N,N,N,N,N,Y
Declined to participate?,,,,,N,N,N,N,N,N,N,N,N,N,N,N
Polling average,,,,,,,,,,,,,,,,
Dropped out?,,,,,Y,,,,,Y,,,,,Y,
NBC News/Des Moines Register/Mediacom,https://www.desmoinesregister.com/story/news/politics/iowa-poll/caucus/2023/10/30/iowa-poll-donald-trump-leads-ron-desantis-nikki-haley-tied-presidential-candidates-gop-caucus/71342485007/,Iowa,Oct. 22-26,,,0.04,0.16,,0.16,,0.01,,,0.04,,0.43
Quinnipiac University,https://poll.qu.edu/poll-release?releaseid=3881,National,Oct. 26-30,,,0.03,0.15,,0.08,,0,,,0.03,,0.64
CNN,https://s3.documentcloud.org/documents/24131320/cnn-poll-on-2024.pdf,National,Oct. 27-Nov. 2,,,0.02,0.17,,0.1,,0.01,,,0.04,,0.61
CBS News/YouGov,https://www.cbsnews.com/news/poll-trump-leads-republican-field-gop-2023-11-06/,National,Oct. 31-Nov. 3,,,0.02,0.18,,0.09,,0,,,0.05,,0.61
Marquette University Law School,https://law.marquette.edu/poll/wp-content/uploads/2023/11/MLSPSC17ToplinesRV.html,National,Nov. 2-7,,,0.01,0.12,,0.12,,,,,0.04,,0.54
Quinnipiac University,https://poll.qu.edu/poll-release?releaseid=3883,National,Nov. 9-13,,,0.02,0.16,,0.09,,,,,0.04,,0.64
Fox News,https://www.foxnews.com/official-polls/fox-news-poll-support-trump-hits-62-gop-primary,National,Noc. 10-13,,,0.03,0.14,,0.11,,,,,0.07,,0.62
NBC News,https://www.nbcnews.com/politics/2024-election/poll-bidens-standing-hits-new-lows-israel-hamas-war-rcna125251,National,Nov. 10-14,,,0.03,0.18,,0.13,,0.01,,,0.03,,0.58
Monmouth University,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_120623/,National,Nov. 30-Dec. 4,,,0.02,0.18,,0.12,,,,,0.04,,0.58
NBC News/Des Moines Register/Mediacom,https://www.documentcloud.org/documents/24210931-horseraceip-methodology-1,Iowa,Dec. 2-7,,,0.04,0.19,,0.16,,0.01,,,0.05,,0.51
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,
Unconfirmed qualifying poll,,,,,,,,,,,,,,,,
Candidate dropped out,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Spreadsheet by: Steven Shepard and Zach Montellaro, POLITICO",,,,,,,,,,,,,,,,
